"probe","Contribution"
"202560_s_at",0.00602051850240367
"215884_s_at",0.00582168992852424
"213410_at",0.00581873078675074
"202396_at",0.00580581555423533
"225125_at",0.00580269023671157
"209903_s_at",0.00579927540714132
"201916_s_at",0.0057815533907209
"218528_s_at",0.00574589759149672
"209143_s_at",0.00570292479642034
"200020_at",0.00569819132045524
"212168_at",0.00569697094447475
"201784_s_at",0.00567109569510635
"224705_s_at",0.00566688358937939
"218152_at",0.0056610545325588
"212690_at",0.00565500368584651
"222014_x_at",0.0056418923920142
"225621_at",0.00563904646634696
"221736_at",0.00563418200469691
"200892_s_at",0.00563376504498805
"209472_at",0.00563325432259475
