"probe","contribution"
"1007_s_at",0.00154127408603738
"1053_at",0.000202111468181777
"117_at",0.000945153674843233
"121_at",0.00154655989170713
"1255_g_at",3.30345365795613e-05
"1294_at",0.00693183545039044
"1316_at",0.00135235360955031
"1320_at",0.000117986776626846
"1405_i_at",0.00170349397664676
"1431_at",3.80691776642018e-05
"1438_at",0.00135177256067663
"1487_at",0.00870781208259825
"1494_f_at",0.004809539791611
"1552256_a_at",0.00686851995801793
"1552257_a_at",0.0151720841607885
"1552258_at",0.00838698836240813
"1552261_at",0.000279738352965747
"1552263_at",0.00315703646427454
"1552264_a_at",0.000722537548075082
"1552266_at",9.51495862105833e-06
